Item,Description,Quantity,Unit Price Dollars,Total Price Dollars,URL
"
Raspberry Pi Pico Board RP2040 Dual-Core 264KB ARM Low-Power Microcomputers High-Performance Cortex-M0+ Processor",Micro Controller,1,2.25,2.25,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.1.4a425768f9tMhh&productIds=1005007039675427:12000039183295757&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007039675427%7C_p_origin_prod%3A1005006111300292&pvid=c5a5e477-8936-4523-9a85-44c17e997608
"
Holy Panda Tactile Switch 55g 62g 67g POM Creamy Switches Mechanical Keyboard Gaming Custom DIY 5-Pins Cherry MX Switch Hot-Swap",Switches,1,10.76,10.76,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.1.4a425768f9tMhh&productIds=1005007039675427:12000039183295757&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007039675427%7C_p_origin_prod%3A1005006111300292&pvid=c5a5e477-8936-4523-9a85-44c17e997608
129Keys Keyboard Keycap OEM Profile PBT Material Key Cap for Mx Hot Swap Mechanical Keyboard Switch Transparent Pudding Keycaps,Key Caps,1,1,4.48,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.1.4a425768f9tMhh&productIds=1005007039675427:12000039183295757&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007039675427%7C_p_origin_prod%3A1005006111300292&pvid=c5a5e477-8936-4523-9a85-44c17e997608
PCB + shipping,PCB,1,43,77.24,https://cart.jlcpcb.com/shopcart/cart
,,,,94.73,
